id      ,team                                     ,year ,classification ,division                    ,conference ,week             ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                        ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                                     ,opp ,team score ,opp score ,result ,location ,season type ,week                     ,opp ,team score ,opp score ,result ,location ,season type ,week                     ,opp ,team score ,opp score ,result ,location ,season type ,week                     ,opp ,team score ,opp score ,result ,location ,season type ,week                 ,opp ,team score ,opp score ,result ,location ,season type ,week ,opp ,team score ,opp score ,result ,location ,season type ,week ,opp ,team score ,opp score ,result ,location ,season type 
   2017 ,Alderson-Broaddus                        ,2021 ,ii             ,Mountain East               ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Mercyhurst                               ,  3 ,        18 ,        0 ,   0   ,regular  ,          2 ,West Liberty                             ,  0 ,        24 ,        0 ,   1   ,regular  ,          3 ,Wheeling Jesuit                          ,  6 ,        28 ,        0 ,   0   ,regular  ,          4 ,Charleston (WV)                          ,  7 ,        69 ,        0 ,   1   ,regular  ,          5 ,WV State                    , 13 ,        45 ,        0 ,   0   ,regular  ,          6 ,Fairmont State                           , 10 ,        44 ,        0 ,   0   ,regular  ,          7 ,Glenville State                          , 21 ,        35 ,        0 ,     1 ,regular  ,          8 ,WV Wesleyan                              , 49 ,        20 ,        1 ,     0 ,regular  ,          9 ,Frostburg State                          ,  7 ,        45 ,        0 ,   1   ,regular  ,         10 ,Concord                                  , 10 ,        23 ,        0 ,   1   ,regular  ,         11 ,Notre Dame College                       ,  7 ,        72 ,        0 ,     0 ,regular  ,         12 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2019 ,Allen                                    ,2021 ,ii             ,SIAC                        ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Benedict College                         , 12 ,        45 ,        0 ,   0   ,regular  ,          2 ,Johnson C Smith                          , 20 ,        19 ,        1 ,   0   ,regular  ,          3 ,Livingstone                              , 34 ,        32 ,        1 ,   1   ,regular  ,          4 ,Fort Valley State                        , 20 ,        56 ,        0 ,   1   ,regular  ,          5 ,Central State               , 46 ,        34 ,        1 ,   0   ,regular  ,          6 ,Clark Atlanta                            , 12 ,        21 ,        0 ,   0   ,regular  ,          7 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,          8 ,Erskine                                  , 40 ,        47 ,        0 ,     0 ,regular  ,          9 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         10 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         11 ,Edward Waters                            , 34 ,        51 ,        0 ,     1 ,regular  ,         12 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2022 ,American International                   ,2021 ,ii             ,Northeast 10                ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Millersville                             , 14 ,         9 ,        1 ,   0   ,regular  ,          2 ,Pace                                     , 40 ,        33 ,        1 ,   0   ,regular  ,          3 ,Franklin Pierce                          , 38 ,        19 ,        1 ,   0   ,regular  ,          4 ,Bentley                                  , 27 ,        35 ,        0 ,   1   ,regular  ,          5 ,Southern Connecticut State  ,  7 ,        23 ,        0 ,   0   ,regular  ,          6 ,Stonehill                                ,  0 ,        25 ,        0 ,   1   ,regular  ,          7 ,New Haven                                , 14 ,        30 ,        0 ,     1 ,regular  ,          8 ,Assumption                               , 21 ,        42 ,        0 ,     0 ,regular  ,          9 ,St. Anselm                               , 16 ,        21 ,        0 ,   0   ,regular  ,         10 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         11 ,Pace                                     , 14 ,         7 ,        1 ,     1 ,regular  ,         12 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2025 ,Angelo State                             ,2021 ,ii             ,Lone Star                   ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Lindenwood                               , 40 ,        20 ,        1 ,   0   ,regular  ,          2 ,Chadron State                            , 28 ,        24 ,        1 ,   0   ,regular  ,          3 ,Midwestern State                         , 17 ,        35 ,        0 ,   1   ,regular  ,          4 ,Central Washington                       , 14 ,         9 ,        1 ,   0   ,regular  ,          5 ,Western New Mexico          , 62 ,         3 ,        1 ,   1   ,regular  ,          6 ,West Texas A&M                           , 15 ,        31 ,        0 ,   0   ,regular  ,          7 ,University of Texas of the Permian Basin , 34 ,        14 ,        1 ,     1 ,regular  ,          8 ,Simon Fraser                             , 51 ,        10 ,        1 ,     1 ,regular  ,          9 ,Eastern New Mexico                       , 59 ,         7 ,        1 ,   0   ,regular  ,         10 ,Texas A&M-Commerce                       , 30 ,         3 ,        1 ,   1   ,regular  ,         11 ,Texas A&M-Kingsville                     , 58 ,        19 ,        1 ,     0 ,regular  ,         12 ,Minnesota-Duluth         , 48 ,        14 ,        1 ,   1   ,regular  ,         13 ,Nebraska-Kearney         , 20 ,         7 ,        1 ,   1   ,regular  ,         14 ,Colorado Mines           , 26 ,        34 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2026 ,Appalachian State                        ,2021 ,fbs            ,Sun Belt                    ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,East Carolina                            , 33 ,        19 ,        1 ,   1   ,regular  ,          2 ,Miami                                    , 23 ,        25 ,        0 ,   0   ,regular  ,          3 ,Elon                                     , 44 ,        10 ,        1 ,   1   ,regular  ,          4 ,Marshall                                 , 31 ,        30 ,        1 ,   1   ,regular  ,          5 ,Georgia State               , 45 ,        16 ,        1 ,   0   ,regular  ,          6 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,          7 ,Louisiana                                , 13 ,        41 ,        0 ,     0 ,regular  ,          8 ,Coastal Carolina                         , 30 ,        27 ,        1 ,     1 ,regular  ,          9 ,Louisiana Monroe                         , 59 ,        28 ,        1 ,   1   ,regular  ,         10 ,Arkansas State                           , 48 ,        14 ,        1 ,   0   ,regular  ,         11 ,South Alabama                            , 31 ,         7 ,        1 ,     1 ,regular  ,         12 ,Troy                     , 45 ,         7 ,        1 ,   0   ,regular  ,         13 ,Georgia Southern         , 27 ,         3 ,        1 ,   1   ,regular  ,         14 ,Louisiana                , 16 ,        24 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
     12 ,Arizona                                  ,2021 ,fbs            ,Pac-12                      ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,BYU                                      , 16 ,        24 ,        0 ,   0.5 ,regular  ,          2 ,San Diego State                          , 14 ,        38 ,        0 ,   1   ,regular  ,          3 ,Northern Arizona                         , 19 ,        21 ,        0 ,   1   ,regular  ,          4 ,Oregon                                   , 19 ,        41 ,        0 ,   0   ,regular  ,          5 ,0                           ,  0 ,         0 ,        0 ,   0   ,regular  ,          6 ,UCLA                                     , 16 ,        34 ,        0 ,   1   ,regular  ,          7 ,Colorado                                 ,  0 ,        34 ,        0 ,     0 ,regular  ,          8 ,Washington                               , 16 ,        21 ,        0 ,     1 ,regular  ,          9 ,USC                                      , 34 ,        41 ,        0 ,   0   ,regular  ,         10 ,California                               , 10 ,         3 ,        1 ,   1   ,regular  ,         11 ,Utah                                     , 29 ,        38 ,        0 ,     1 ,regular  ,         12 ,Washington State         , 18 ,        44 ,        0 ,   0   ,regular  ,         13 ,Arizona State            , 15 ,        38 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
      9 ,Arizona State                            ,2021 ,fbs            ,Pac-12                      ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Southern Utah                            , 41 ,        14 ,        1 ,   1   ,regular  ,          2 ,UNLV                                     , 37 ,        10 ,        1 ,   1   ,regular  ,          3 ,BYU                                      , 17 ,        27 ,        0 ,   0   ,regular  ,          4 ,Colorado                                 , 35 ,        13 ,        1 ,   1   ,regular  ,          5 ,UCLA                        , 42 ,        23 ,        1 ,   0   ,regular  ,          6 ,Stanford                                 , 28 ,        10 ,        1 ,   1   ,regular  ,          7 ,Utah                                     , 21 ,        35 ,        0 ,     0 ,regular  ,          8 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,          9 ,Washington State                         , 21 ,        34 ,        0 ,   1   ,regular  ,         10 ,USC                                      , 31 ,        16 ,        1 ,   1   ,regular  ,         11 ,Washington                               , 35 ,        30 ,        1 ,     0 ,regular  ,         12 ,Oregon State             , 10 ,        24 ,        0 ,   0   ,regular  ,         13 ,Arizona                  , 38 ,        15 ,        1 ,   1   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
      8 ,Arkansas                                 ,2021 ,fbs            ,SEC                         ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Rice                                     , 38 ,        17 ,        1 ,   1   ,regular  ,          2 ,Texas                                    , 40 ,        21 ,        1 ,   1   ,regular  ,          3 ,Georgia Southern                         , 45 ,        10 ,        1 ,   1   ,regular  ,          4 ,Texas A&M                                , 20 ,        10 ,        1 ,   0.5 ,regular  ,          5 ,Georgia                     ,  0 ,        37 ,        0 ,   0   ,regular  ,          6 ,Ole Miss                                 , 51 ,        52 ,        0 ,   0   ,regular  ,          7 ,Auburn                                   , 23 ,        38 ,        0 ,     1 ,regular  ,          8 ,Arkansas-Pine Bluff                      , 45 ,         3 ,        1 ,     1 ,regular  ,          9 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         10 ,Mississippi State                        , 31 ,        28 ,        1 ,   1   ,regular  ,         11 ,LSU                                      , 16 ,        13 ,        1 ,     0 ,regular  ,         12 ,Alabama                  , 35 ,        42 ,        0 ,   0   ,regular  ,         13 ,Missouri                 , 34 ,        17 ,        1 ,   1   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
 124386 ,Arkansas Baptist                         ,2021 ,               ,                            ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,          2 ,Missouri S&T                             ,  0 ,        71 ,        0 ,   0   ,regular  ,          3 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,          4 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,          5 ,0                           ,  0 ,         0 ,        0 ,   0   ,regular  ,          6 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,          7 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,          8 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,          9 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         10 ,0                                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         11 ,0                                        ,  0 ,         0 ,        0 ,     0 ,regular  ,         12 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
   2028 ,Arkansas-Monticello                      ,2021 ,ii             ,Great American              ,         0 ,0                ,  0 ,         0 ,        0 ,     0 ,regular  ,          1 ,Southern Nazarene                        , 30 ,        23 ,        1 ,   1   ,regular  ,          2 ,Oklahoma Baptist                         , 20 ,        45 ,        0 ,   0   ,regular  ,          3 ,Henderson State                          , 18 ,        58 ,        0 ,   1   ,regular  ,          4 ,Arkansas Tech                            , 27 ,        20 ,        1 ,   0   ,regular  ,          5 ,Southwestern Oklahoma       , 18 ,        16 ,        1 ,   1   ,regular  ,          6 ,Northwestern Oklahoma State              , 42 ,        23 ,        1 ,   0   ,regular  ,          7 ,Ouachita Baptist                         ,  0 ,        34 ,        0 ,     1 ,regular  ,          8 ,Harding                                  ,  7 ,        64 ,        0 ,     0 ,regular  ,          9 ,Southeastern Oklahoma                    , 14 ,        34 ,        0 ,   0   ,regular  ,         10 ,East Central                             , 10 ,        35 ,        0 ,   1   ,regular  ,         11 ,Southern Arkansas                        , 73 ,        37 ,        1 ,     0 ,regular  ,         12 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         13 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         14 ,0                        ,  0 ,         0 ,        0 ,   0   ,regular  ,         15 ,0                    ,  0 ,         0 ,        0 ,     0 ,regular  
